timestamp,artist,track,album,source,duration_seconds
#Add your data here 
2026-02-26T15:40:40.055346,Matt Costa,Sweet Thursday,,SomaFM Indie Pop,180
2026-02-26T15:44:13.792164,Strange Names,Neighborhood,,SomaFM Indie Pop,180
2026-02-26T15:48:10.045195,Belair Lip Bombs,Hey You (Radio Edit),,SomaFM Indie Pop,180
2026-02-26T15:51:32.535353,Sea Of Lettuce,Future Endeavours,,SomaFM Indie Pop,180
2026-02-26T15:55:06.287201,Lisa SQ,Cold Little Fingers,,SomaFM Indie Pop,180
2026-02-26T15:57:32.545432,Dream Wife,Hasta La Vista,,SomaFM Indie Pop,180
2026-02-26T16:01:17.533128,Sea Wolf,Kasper,,SomaFM Indie Pop,180
2026-02-26T16:04:51.282275,Matt Pond PA,Rabbit,,SomaFM Indie Pop,180
2026-02-26T16:08:13.803619,Camera Obscura,Happy New Year,,SomaFM Indie Pop,180
2026-02-26T16:11:58.791605,Mayflies Usa,Kickless Kids,,SomaFM Indie Pop,180
2026-02-26T16:15:32.549452,Ryli,I Think I Need You Around,,SomaFM Indie Pop,180
2026-02-26T16:18:21.283792,Snocaps,Coast (Dirty),,SomaFM Indie Pop,180
2026-02-26T16:20:36.268599,Clap Your Hands Say Yeah,Details Of The War,,SomaFM Indie Pop,180
2026-02-26T16:24:10.030646,Benjamin Gibbard,You Remind Me Of Home,,SomaFM Indie Pop,180
2026-02-26T16:26:13.792136,Oceanique,Winter Song,,SomaFM Indie Pop,180
2026-02-26T16:29:47.547670,Peel Dream Magazine,Venus In Nadir,,SomaFM Indie Pop,180
2026-02-26T16:31:40.044146,Memorials,Cut Glass Hammer,,SomaFM Indie Pop,180
2026-02-26T16:35:36.271269,Death Cab For Cutie,No Sunlight,,SomaFM Indie Pop,180
2026-02-26T16:38:02.531056,Black Keys,Tell Me Lies,,SomaFM Indie Pop,180
2026-02-26T16:41:47.531068,Line & Circle,Tunnel Joy,,SomaFM Indie Pop,180
2026-02-26T16:45:32.548399,Peaking Lights,Dreamquest,,SomaFM Indie Pop,180
2026-02-26T16:49:28.806492,Hiqpy,Girl In Red,,SomaFM Indie Pop,180
2026-02-26T16:52:51.270695,Patrick Watson,Peter And The Wolf (Radio Edit),,SomaFM Indie Pop,180
2026-02-26T16:55:51.283688,Fanclubwallet,Do Over,,SomaFM Indie Pop,180
2026-02-26T16:58:51.271273,Dismemberment Plan,Spider In The Snow,,SomaFM Indie Pop,180
2026-02-26T17:02:36.284441,Tallies,Eden,,SomaFM Indie Pop,180
2026-02-26T17:06:21.284276,Neko Case,Louise,,SomaFM Indie Pop,180
2026-02-26T17:10:28.791705,Soft Loft,Can,,SomaFM Indie Pop,180
2026-02-26T17:13:40.031244,Washed Out,Letting Go,,SomaFM Indie Pop,180
2026-02-26T17:17:58.791776,Of Monsters And Men,Lakehouse,,SomaFM Indie Pop,180
2026-02-26T17:22:17.530501,Tristen,Dark Matter,,SomaFM Indie Pop,180
2026-02-26T17:25:51.283123,Ladytron,The Animals,,SomaFM Indie Pop,180
2026-02-26T17:30:21.271090,Small Black,Lines Of Latitude,,SomaFM Indie Pop,180
2026-02-26T17:34:43.766551,Innocence Mission,The Camera Divides The Coast Of Maine,,SomaFM Indie Pop,180
2026-02-26T17:38:28.739893,Snuggle,Playthings,,SomaFM Indie Pop,180
2026-02-26T17:41:28.753000,Daisy The Great,Dog,,SomaFM Indie Pop,180
2026-02-26T17:45:25.002443,Buffetlibre,In The Aeroplane,,SomaFM Indie Pop,180
2026-02-26T17:50:40.001775,Leggy,Adonis,,SomaFM Indie Pop,180
2026-02-26T17:52:43.762021,Quentyn,The Night (I Wanna Know),,SomaFM Indie Pop,180
2026-02-26T17:55:10.013658,Grandaddy,Watercooler,,SomaFM Indie Pop,180
2026-02-26T17:59:28.737380,Coral Moons,Summer Of U,,SomaFM Indie Pop,180
2026-02-26T18:02:28.736077,Hop Along,How Simple (Radio),,SomaFM Indie Pop,180
2026-02-26T18:05:51.250694,Pains Of Being Pure At Heart,Contender,,SomaFM Indie Pop,180
2026-02-26T18:08:17.482362,Kathryn Calder,Low,,SomaFM Indie Pop,180
2026-02-26T18:12:13.752315,Sea And Cake,Window Sills,,SomaFM Indie Pop,180
2026-02-26T18:15:47.481045,Boyscott,Moose Head,,SomaFM Indie Pop,180
2026-02-26T18:17:39.997699,NoSo,You're No Man,,SomaFM Indie Pop,180
2026-02-26T18:21:13.753019,Badsoma,Making Due,,SomaFM Indie Pop,180
2026-02-26T18:24:24.999489,Big Thief,Ufof,,SomaFM Indie Pop,180
2026-02-26T18:27:25.004141,Yawn,Follow You,,SomaFM Indie Pop,180
2026-02-26T18:31:21.238949,Jay Som,Cards On The Table,,SomaFM Indie Pop,180
2026-02-26T18:34:43.738846,Fruit Bats,Let You People Down,,SomaFM Indie Pop,180
2026-02-26T18:36:36.253708,Admiral Fallow,The Shortest Night,,SomaFM Indie Pop,180
2026-02-26T18:40:43.738840,Simian Ghost,The Ocean Is A Whisper,,SomaFM Indie Pop,180
2026-02-26T18:43:43.752553,Postcards,Before We Sleep,,SomaFM Indie Pop,180
2026-02-26T18:48:47.492068,Crystal Fighters,La Calling,,SomaFM Indie Pop,180
2026-02-26T18:52:32.493700,M. Ward,Stop The Show,,SomaFM Indie Pop,180
2026-02-26T18:56:06.253249,Flyte,If You Can't Be Happy,,SomaFM Indie Pop,180
2026-02-26T18:59:40.010893,Jeff Tweedy,Caught Up In The Past,,SomaFM Indie Pop,180
